filename, language, Ini, Markdown, pip requirements, Python, comment, blank, total
c:\Users\jacob\Documents\Repos\Pursuit\README.md, Markdown, 0, 8, 0, 0, 0, 5, 13
c:\Users\jacob\Documents\Repos\Pursuit\archive\cat.py, Python, 0, 0, 0, 42, 21, 12, 75
c:\Users\jacob\Documents\Repos\Pursuit\archive\mouse.py, Python, 0, 0, 0, 30, 8, 13, 51
c:\Users\jacob\Documents\Repos\Pursuit\build\lib\pursuit\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
c:\Users\jacob\Documents\Repos\Pursuit\build\lib\pursuit\game.py, Python, 0, 0, 0, 0, 0, 1, 1
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\cartesian.py, Python, 0, 0, 0, 32, 0, 15, 47
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\cat.py, Python, 0, 0, 0, 47, 4, 16, 67
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\chase.py, Python, 0, 0, 0, 86, 25, 29, 140
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\chaser.py, Python, 0, 0, 0, 12, 10, 7, 29
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\coordinate.py, Python, 0, 0, 0, 11, 3, 8, 22
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\game.py, Python, 0, 0, 0, 10, 8, 4, 22
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\game_old.py, Python, 0, 0, 0, 13, 12, 5, 30
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\mouse.py, Python, 0, 0, 0, 58, 4, 18, 80
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\pursued.py, Python, 0, 0, 0, 11, 7, 4, 22
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\pursuer.py, Python, 0, 0, 0, 11, 11, 4, 26
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\pursuit.py, Python, 0, 0, 0, 31, 0, 18, 49
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\rat.py, Python, 0, 0, 0, 25, 3, 12, 40
c:\Users\jacob\Documents\Repos\Pursuit\pursuit\utils.py, Python, 0, 0, 0, 4, 0, 1, 5
c:\Users\jacob\Documents\Repos\Pursuit\pytest.ini, Ini, 3, 0, 0, 0, 0, 0, 3
c:\Users\jacob\Documents\Repos\Pursuit\requirements.txt, pip requirements, 0, 0, 0, 0, 0, 1, 1
c:\Users\jacob\Documents\Repos\Pursuit\setup.py, Python, 0, 0, 0, 8, 0, 3, 11
c:\Users\jacob\Documents\Repos\Pursuit\tests\unit\__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
c:\Users\jacob\Documents\Repos\Pursuit\tests\unit\test_data.py, Python, 0, 0, 0, 25, 0, 1, 26
c:\Users\jacob\Documents\Repos\Pursuit\tests\unit\test_game.py, Python, 0, 0, 0, 9, 4, 9, 22
Total, -, 3, 8, 0, 465, 120, 189, 785
